Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-08-08,2024-08-12 21:13 CEST,BIS,"https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.B.AR?","https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.B.AR?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2000-04-30,F:Free,,A:Normal value,469.42
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2000-05-31,F:Free,,A:Normal value,479.37
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2000-06-30,F:Free,,A:Normal value,470.45
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2000-07-31,F:Free,,A:Normal value,471.06
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2000-08-31,F:Free,,A:Normal value,473.22
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2000-09-30,F:Free,,A:Normal value,477.4
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2000-10-31,F:Free,,A:Normal value,484.07
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2000-11-30,F:Free,,A:Normal value,486.27
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2000-12-31,F:Free,,A:Normal value,480.9
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-01-31,F:Free,,A:Normal value,475.37
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-02-28,F:Free,,A:Normal value,478.0
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-03-31,F:Free,,A:Normal value,487.08
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-04-30,F:Free,,A:Normal value,498.26
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-05-31,F:Free,,A:Normal value,504.22
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-06-30,F:Free,,A:Normal value,508.66
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-07-31,F:Free,,A:Normal value,511.75
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-08-31,F:Free,,A:Normal value,504.45
"BIS,WS_EER,1.0",M.R.B.AR,M:Monthly,R:Real,B:Broad (64 economies),AR:Argentina,"Index, 2020 = 100",,2001-09-30,F:Free,,A:Normal value,509.56
